sku,advertise,group,subsku1,subsku2,subsku3,subsku4,subsku5,subsku6,subsku7,subsku8,subsku9,subsku10,upc,collection,title,color1,color2,color3,color4,colorlink,fabric1,fabric2,fabric3,price,map,category,subcategory1,subcategory2,subcategory3,subcategory4,weight,height,width,depth,sizelink,class,description,feature 1,feature 2,feature 3,feature 4,feature 5,assembly,material1,material2,material3,material4,wood,origin,shipmethod,boxcount,boxweight,boxheight,boxwidth,boxdepth,box2weight,box2height,box2width,box2depth,box3weight,box3height,box3width,box3depth,box4weight,box4height,box4width,box4depth,box5weight,box5height,box5width,box5depth,box6weight,box6height,box6width,box6depth,box7weight,box7height,box7width,box7depth,box8weight,box8height,box8width,box8depth,box9weight,box9height,box9width,box9depth,estimatedship,shipnote,mainimage1,"mainimage2,mainimage3",setimage1,setimage2,setimage3,roomimage1,roomimage2,roomimage3,additionalimage1,additionalimage2,additionalimage3,additionalimage4,additionalimage5,additionalimage6,additionalimage7,additionalimage8,additionalimage9,additionalimage10,diagramimage1,diagramimage2,diagramimage3,swatchimage1,swatchimage2,swatchimage3,swatchimage4,swatchimage5,swatchimage6,swatchimage7,swatchimage8,swatchimage9,swatchimage10
4766-850,TRUE,4766-850,,,,,,,,,,,796995054363,Bayberry,Bayberry Sideboard,Oak finish,,,,,,,,$170.0,,Accents and Occasionals,Sideboard,,,,83.0,37.0,42.25,15.25,,,"Finished in a dark cherry or classic oak, our Bayberry/Glenmary sideboard combines the clean lines of a transitional design with the unique addition of a bamboo effect.  Made from hardwoods, it is composed of both solids and climate controlled wood composites to prevent cracking and splitting from changes in temperature or humidity.",Oak finish,Clean lines,Bamboo effect,Transitional design,,,Wood,,,,Rubber wood,Vietnam,Oversized,1.0,99.0,20.0,22.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,,hh4766-850.jpg,,,,,,,,,,,,,,,,,,,hh4766-850.jpg,,,hh4766-850.jpg,,,,,,,,,
40544OC,TRUE,40544OC,40544.0,49545.0,,,,,,,,,796995921689,Bordeaux,Bordeaux Console Table,Pewter powder coat with bronze highlights,glass,,,,,,,$85.0,,Accents and Occasionals,Console Table,,,,24.0,29.0,36.0,14.0,,,"Splendid wrought iron design, the Bordeaux Collection features elegant scroll work, with beautiful decorative leaf and medallion casting accents.  Bakers rack has 1 wood shelf and 3 metal shelves for valuable storage or display space.  Dining table has interesting center ornamentation and tempered glass table top.  Chairs and bar stools and bench have durable, beige fabric seats.  Finished in a beautiful pewter powder coat base finish with bronze high-lights.  A lovely addition to any kitchen, family room, dining room or den.",Pewter powder coat finish,Wrought iron design,Elegant scrollwork,Medallion casting accents,,,Metal, Glass,,,,China,Small Parcel,2.0,20.0,7.5,18.0,40.0,14.0,2.5,18.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,,hh40544oc.jpg,,,,,,,,,,,,,,,,,,,hh40544oc.jpg,,,hh40544oc.jpg,,,,,,,,,
40544.0,TRUE,40544OC,,,,,,,,,,,796995405448,Bordeaux,Bordeaux Console Table - Metal Base,Pewter powder coat with bronze highlights,glass,,,,,,,$57.5,,Accents and Occasionals,Console Table,,,,15.0,,,,,,,,,,,,,Metal, Glass,,,,China,Small Parcel,1.0,20.0,7.5,14.0,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49545.0,TRUE,40544OC,,,,,,,,,,,796995495456,Bordeaux,Bordeaux Console Table - Glass Top,Pewter powder coat with bronze highlights,glass,,,,,,,$27.5,,Accents and Occasionals,Console Table,,,,9.0,,,,,,,,,,,,,Metal, Glass,,,,China,Small Parcel,1.0,14.0,2.5,18.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40543.0,TRUE,40543.0,,,,,,,,,,,796995405431,Bordeaux,Bordeaux Console Mirror,Pewter powder coat with bronze highlights,glass,,,,,,,$70.0,,Accents and Occasionals,Mirror,,,,22.0,42.25,28.0,0.75,,,"Splendid wrought iron design, the Bordeaux Collection features elegant scroll work, with beautiful decorative leaf and medallion casting accents.  Bakers rack has 1 wood shelf and 3 metal shelves for valuable storage or display space.  Dining table has interesting center ornamentation and tempered glass table top.  Chairs and bar stools and bench have durable, beige fabric seats.  Finished in a beautiful pewter powder coat base finish with bronze high-lights.  A lovely addition to any kitchen, family room, dining room or den.",Pewter powder coat finish,Wrought iron design,Elegant scrollwork,Medallion casting accents,,,Metal, Glass,,,,China,Small Parcel,1.0,27.0,4.0,33.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4815OTE,TRUE,4815OTE,4815-880,4815-881,,,,,,,,,796995923805,Brookside,Brookside Fossil End Table,Brown powdercoat,,,,,,,,$110.0,,Accents and Occasionals,End Table,,,,51.0,22.5,24.0,24.0,,,Our Brookside collection features the lustrous depth and beauty of fossilstone and the classic effect of transitional designs.  A thick patterned ivory colored fossilstone veneer graces the sturdy powdercoated metal bases on the occasional tables & buffet.  ,Brown powdercoat finish,Thick patterned ivory-colored fossil sone veneer,Classic effect of transitional,Metallic,,,Metal, Stone,,,,China,Small Parcel,2.0,25.0,5.0,24.0,25.5,36.0,3.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.75,,hh4815ote.jpg,,,,,,,,,,,,,,,,,,,hh4815ote.jpg,,,hh4815ote.jpg,,,,,,,,,
4815-880,TRUE,4815OTE,,,,,,,,,,,796995053878,Brookside,Brookside Fossil End Table - Base,Brown powdercoat,,,,,,,,$45.0,,Accents and Occasionals,End Table,,,,20.0,22.5,,,,,,,,,,,,Metal, Stone,,,,China,Small Parcel,1.0,25.0,5.0,24.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4815-881,TRUE,4815OTE,,,,,,,,,,,796995053892,Brookside,Brookside Fossil End Table - Top,Brown powdercoat,,,,,,,,$65.0,,Accents and Occasionals,End Table,,,,31.0,,24.0,24.0,,,,,,,,,,Metal, Stone,,,,China,Small Parcel,1.0,36.0,3.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4815OTC,TRUE,4815OTC,4815-882,4815-883,,,,,,,,,796995923799,Brookside,Brookside Fossil Coffee Table,Brown powdercoat,,,,,,,,$175.0,,Accents and Occasionals,Coffee Table,,,,91.0,19.0,48.0,24.0,,,Our Brookside collection features the lustrous depth and beauty of fossilstone and the classic effect of transitional designs.  A thick patterned ivory colored fossilstone veneer graces the sturdy powdercoated metal bases on the occasional tables & buffet.  ,Brown powdercoat finish,Thick patterned ivory-colored fossil sone veneer,Classic effect of transitional,Metallic,,,Metal, Stone,,,,China,Small Parcel,2.0,32.0,5.0,24.0,48.0,69.0,3.0,27.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5,,hh4815otc.jpg,,,,,,,,,,,,,,,,,,,hh4815otc.jpg,,,hh4815otc.jpg,,,,,,,,,
4815-882,TRUE,4815OTC,,,,,,,,,,,796995053861,Brookside,Brookside Fossil Coffee Table,Brown powdercoat,,,,,,,,$65.0,,Accents and Occasionals,Coffee Table,,,,27.0,19.0,,,,,,,,,,,,Metal, Stone,,,,China,Small Parcel,1.0,32.0,5.0,24.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
