sku,advertise,group,subsku1,subsku2,subsku3,subsku4,subsku5,subsku6,subsku7,subsku8,subsku9,subsku10,upc,collection,title,color1,color2,color3,color4,colorlink,fabric1,fabric2,fabric3,price,map,category,subcategory1,subcategory2,subcategory3,subcategory4,weight,height,width,depth,sizelink,class,description,feature 1,feature 2,feature 3,feature 4,feature 5,assembly,material1,material2,material3,material4,wood,origin,shipmethod,boxcount,boxweight,boxheight,boxwidth,boxdepth,box2weight,box2height,box2width,box2depth,box3weight,box3height,box3width,box3depth,box4weight,box4height,box4width,box4depth,box5weight,box5height,box5width,box5depth,box6weight,box6height,box6width,box6depth,box7weight,box7height,box7width,box7depth,box8weight,box8height,box8width,box8depth,box9weight,box9height,box9width,box9depth,estimatedship,shipnote,mainimage1,"mainimage2,mainimage3",setimage1,setimage2,setimage3,roomimage1,roomimage2,roomimage3,additionalimage1,additionalimage2,additionalimage3,additionalimage4,additionalimage5,additionalimage6,additionalimage7,additionalimage8,additionalimage9,additionalimage10,diagramimage1,diagramimage2,diagramimage3,swatchimage1,swatchimage2,swatchimage3,swatchimage4,swatchimage5,swatchimage6,swatchimage7,swatchimage8,swatchimage9,swatchimage10
1762-784,TRUE,1762FSET5,,,,,,,,,,,796995988811,Nantucket,Nantucket Chest,Espresso,,,,,,,,$315.0,,Bedroom Group,Chest,Wood,,,131.0,50.0,38.0,17.0,,,"The Nantucket youth bedroom is not your average ""kiddie"" bedroom. Traditional in styling with a hint of cottage detail, it features beadboard accents and a rich espresso finish. Constructed of solid wood with wood composites and a combination of Ash and Asian hardwood veneers. The Nantucket is strong, sturdy furniture meant to stand up to the test of time and use. Larger than most youth bedroom sets, the Nantucket case goods are a great fit to transition your little one from childhood into young adulthood. The bed, available in Twin or Full sized, has a slat support system eliminating the need for a box spring. Also available with both bed sizes is the optional matching under-bed storage drawer/trundle. Whether you need extra storage space or an additional bed, this option meets your needs. Speaking of storage, the Nantucket bedroom provides plenty of storage options in the coordinating nightstand, dresser, chest, and TV chest. The dresser provides 3 drawers and a sliding door with an adjustable shelf behind, plus a matching mirror. The chest offers 5 drawers of storage. The nightstand has one drawer and an open lower shelf. The TV chest has a sliding door with adjustable shelf behind and an open area with a drawer and adjustable shelf, providing ample space for electronics, game units and such. All drawers have recessed pulls in an aged pewter finish, dovetail drawer construction and full-extension ball-bearing drawer glides for years of trouble free use. The Nantucket combines style, sturdiness, and storage to create the perfect bedroom group to see your child from toddler through teen.",Beadboard accents,Solid wood construction,Rich espresso finish,Five drawers,,,Wood,,,,Poplar,Malaysia,LTL,1.0,141.0,20.0,41.25,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1,,,,,,,,,,,,,,,,,,,,,hh1762-784 nantucket chest.jpg,,,hh1762-784 nantucket chest.jpg,,,,,,,,,
1762-711,TRUE,1762-711,,,,,,,,,,,796995988828,Nantucket,Nantucket Dresser,Espresso,,,,,,,,$300.0,,Bedroom Group,Dresser,Wood,Slat,King,120.0,32.0,54.0,17.0,,,"The Nantucket youth bedroom is not your average ""kiddie"" bedroom. Traditional in styling with a hint of cottage detail, it features beadboard accents and a rich espresso finish. Constructed of solid wood with wood composites and a combination of Ash and Asian hardwood veneers. The Nantucket is strong, sturdy furniture meant to stand up to the test of time and use. Larger than most youth bedroom sets, the Nantucket case goods are a great fit to transition your little one from childhood into young adulthood. The bed, available in Twin or Full sized, has a slat support system eliminating the need for a box spring. Also available with both bed sizes is the matching under-bed storage drawer/trundle. Whether you need extra storage space or an additional bed, this option meets your needs. Speaking of storage, the Nantucket bedroom provides plenty of storage options in the coordinating nightstand, dresser, chest, and TV chest. The dresser provides 3 drawers and a sliding door with an adjustable shelf behind, plus a matching mirror. The chest offers 5 drawers of storage. The nightstand has one drawer and an open lower shelf. The TV chest has a sliding door with adjustable shelf behind and an open area with a drawer and adjustable shelf, providing ample space for electronics, game units and such. All drawers have recessed pulls in an aged pewter finish, dovetail drawer construction and full-extension ball-bearing drawer glides for years of trouble free use. The Nantucket combines style, sturdiness, and storage to create the perfect bedroom group to see your child from toddler through teen.",Beadboard accents,Solid wood construction,Rich espresso finish,Three drawers,Sliding door,Adjustable Shelf,Wood,,,,Poplar,Malaysia,LTL,1.0,143.0,20.0,33.75,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.0,,,,,,,,,,,,,,,,,,,,,hh1762-711 nantucket dresser.jpg,,,hh1762-711 nantucket dresser.jpg,,,,,,,,,
1762-722,TRUE,1762-722,,,,,,,,,,,796995992474,Nantucket,Nantucket Mirror,Espresso,,,,,,,,$80.0,,Bedroom Group,Mirror,Wood,Slat,King,20.0,37.0,38.0,,,,"The Nantucket youth bedroom is not your average ""kiddie"" bedroom. Traditional in styling with a hint of cottage detail, it features beadboard accents and a rich espresso finish. Constructed of solid wood with wood composites and a combination of Ash and Asian hardwood veneers. The Nantucket is strong, sturdy furniture meant to stand up to the test of time and use. Larger than most youth bedroom sets, the Nantucket case goods are a great fit to transition your little one from childhood into young adulthood. The bed, available in Twin or Full sized, has a slat support system eliminating the need for a box spring. Also available with both bed sizes is the matching under-bed storage drawer/trundle. Whether you need extra storage space or an additional bed, this option meets your needs. Speaking of storage, the Nantucket bedroom provides plenty of storage options in the coordinating nightstand, dresser, chest, and TV chest. The dresser provides 3 drawers and a sliding door with an adjustable shelf behind, plus a matching mirror. The chest offers 5 drawers of storage. The nightstand has one drawer and an open lower shelf. The TV chest has a sliding door with adjustable shelf behind and an open area with a drawer and adjustable shelf, providing ample space for electronics, game units and such. All drawers have recessed pulls in an aged pewter finish, dovetail drawer construction and full-extension ball-bearing drawer glides for years of trouble free use. The Nantucket combines style, sturdiness, and storage to create the perfect bedroom group to see your child from toddler through teen.",Beadboard accents,Solid wood construction,Rich espresso finish,Traditional style with a hint of cottage detail,,,Wood,,,,Poplar,Malaysia,Small Parcel,1.0,26.0,3.5,39.25,40.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762-772,TRUE,1762-772,,,,,,,,,,,796995988842,Nantucket,Nantucket Nightstand,Espresso,,,,,,,,$135.0,,Bedroom Group,Nightstand,Wood,Slat,King,49.0,25.0,26.0,15.75,,,"The Nantucket youth bedroom is not your average ""kiddie"" bedroom. Traditional in styling with a hint of cottage detail, it features beadboard accents and a rich espresso finish. Constructed of solid wood with wood composites and a combination of Ash and Asian hardwood veneers. The Nantucket is strong, sturdy furniture meant to stand up to the test of time and use. Larger than most youth bedroom sets, the Nantucket case goods are a great fit to transition your little one from childhood into young adulthood. The bed, available in Twin or Full sized, has a slat support system eliminating the need for a box spring. Also available with both bed sizes is the matching under-bed storage drawer/trundle. Whether you need extra storage space or an additional bed, this option meets your needs. Speaking of storage, the Nantucket bedroom provides plenty of storage options in the coordinating nightstand, dresser, chest, and TV chest. The dresser provides 3 drawers and a sliding door with an adjustable shelf behind, plus a matching mirror. The chest offers 5 drawers of storage. The nightstand has one drawer and an open lower shelf. The TV chest has a sliding door with adjustable shelf behind and an open area with a drawer and adjustable shelf, providing ample space for electronics, game units and such. All drawers have recessed pulls in an aged pewter finish, dovetail drawer construction and full-extension ball-bearing drawer glides for years of trouble free use. The Nantucket combines style, sturdiness, and storage to create the perfect bedroom group to see your child from toddler through teen.",Beadboard accents,Solid wood construction,Rich espresso finish,One drawer,Lower open shelf,,Wood,,,,Poplar,Malaysia,Small Parcel,1.0,60.0,19.5,29.25,29.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3,,,,,,,,,,,,,,,,,,,,,hh1762-772 nantucket nightstand.jpg,,,hh1762-772 nantucket nightstand.jpg,,,,,,,,,
1762-784,TRUE,1762-784,,,,,,,,,,,796995988811,Nantucket,Nantucket Chest,Espresso,,,,,,,,$315.0,,Bedroom Group,Chest,Wood,Slat,King,131.0,50.0,38.0,17.0,,,"The Nantucket youth bedroom is not your average ""kiddie"" bedroom. Traditional in styling with a hint of cottage detail, it features beadboard accents and a rich espresso finish. Constructed of solid wood with wood composites and a combination of Ash and Asian hardwood veneers. The Nantucket is strong, sturdy furniture meant to stand up to the test of time and use. Larger than most youth bedroom sets, the Nantucket case goods are a great fit to transition your little one from childhood into young adulthood. The bed, available in Twin or Full sized, has a slat support system eliminating the need for a box spring. Also available with both bed sizes is the matching under-bed storage drawer/trundle. Whether you need extra storage space or an additional bed, this option meets your needs. Speaking of storage, the Nantucket bedroom provides plenty of storage options in the coordinating nightstand, dresser, chest, and TV chest. The dresser provides 3 drawers and a sliding door with an adjustable shelf behind, plus a matching mirror. The chest offers 5 drawers of storage. The nightstand has one drawer and an open lower shelf. The TV chest has a sliding door with adjustable shelf behind and an open area with a drawer and adjustable shelf, providing ample space for electronics, game units and such. All drawers have recessed pulls in an aged pewter finish, dovetail drawer construction and full-extension ball-bearing drawer glides for years of trouble free use. The Nantucket combines style, sturdiness, and storage to create the perfect bedroom group to see your child from toddler through teen.",Beadboard accents,Solid wood construction,Rich espresso finish,Five drawers,,,Wood,,,,Poplar,Malaysia,LTL,1.0,141.0,20.0,41.25,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,hh1762-784 nantucket chest.jpg,,,hh1762-784 nantucket chest.jpg,,,,,,,,,
1762-790,TRUE,1762-790,,,,,,,,,,,796995988835,Nantucket,Nantucket TV Chest,Espresso,,,,,,,,$200.0,,Bedroom Group,TV Chest,Wood,Slat,King,86.0,26.0,41.0,17.0,,,"The Nantucket youth bedroom is not your average ""kiddie"" bedroom. Traditional in styling with a hint of cottage detail, it features beadboard accents and a rich espresso finish. Constructed of solid wood with wood composites and a combination of Ash and Asian hardwood veneers. The Nantucket is strong, sturdy furniture meant to stand up to the test of time and use. Larger than most youth bedroom sets, the Nantucket case goods are a great fit to transition your little one from childhood into young adulthood. The bed, available in Twin or Full sized, has a slat support system eliminating the need for a box spring. Also available with both bed sizes is the matching under-bed storage drawer/trundle. Whether you need extra storage space or an additional bed, this option meets your needs. Speaking of storage, the Nantucket bedroom provides plenty of storage options in the coordinating nightstand, dresser, chest, and TV chest. The dresser provides 3 drawers and a sliding door with an adjustable shelf behind, plus a matching mirror. The chest offers 5 drawers of storage. The nightstand has one drawer and an open lower shelf. The TV chest has a sliding door with adjustable shelf behind and an open area with a drawer and adjustable shelf, providing ample space for electronics, game units and such. All drawers have recessed pulls in an aged pewter finish, dovetail drawer construction and full-extension ball-bearing drawer glides for years of trouble free use. The Nantucket combines style, sturdiness, and storage to create the perfect bedroom group to see your child from toddler through teen.",Beadboard accents,Solid wood construction,Rich espresso finish,Sliding door,Adjustable shelf,Open area with drawer and adjustable shelf,Wood,,,,Poplar,Malaysia,LTL,1.0,101.0,20.25,27.5,44.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,hh1762-790 nantucket_tv_chest.jpg,,,hh1762-790 nantucket_tv_chest.jpg,,,,,,,,,
4321BQRP4PCD,TRUE,4321BQRP4PCD,4321-576,4321-586,4321-556,4321-566,4321-717,4321-722,4321-774,,,,79699599229,Outback,"Outback Panel Bed - Queen, Nightstand, Dresser, and Mirror",Warm chestnut,,,,,,,,$1205.0,,Bedroom Group,Four-Piece Bedroom Set,Wood,Panel,Queen,450.0,62.0,81.5,19.2,,,"Crafted from high mountain ash solids and some select plywood, the Outback Collection is sturdy and stylish. The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfections of knots, cracks, and blemishes. Each piece is unique and full of rustic charm. The mission-inspired panel bed is available in queen, king, and claifornia king. It has stout, square legs and matching side rails. Alone or combined with the Outback bedroom pieces, the panel bed is a wonderful addition to any home.",Aged and distressed appearance,"Stout, square legs",Made from solid ash and some plywood,,,,Wood,,,,"Ash, Plywood",Vietnam,LTL,7.0,84.0,5.0,44.0,70.0,53.0,5.0,31.0,70.0,35.0,4.0,8.0,83.0,24.0,3.0,8.0,63.0,161.0,20.0,36.0,65.0,51.0,3.0,46.0,52.0,77.0,20.0,31.0,31.0,,,,,,,,,370.0,,hh4321bqrp4pcd.jpg,,,,,,,,,,,,,,,,,,,hh4321bqrp4pcd.jpg,,,hh4321bqrp4pcd.jpg,,,,,,,,,
4321-576,TRUE,4321BQRP4PCD,,,,,,,,,,,796995968066,Outback,Outback Panel Bed Headboard - Queen,Warm chestnut,,,,,,,,$210.0,,Bedroom Group,Headboard,Wood,Panel,Queen,79.0,62.0,68.0,4.0,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,84.0,5.0,44.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-586,TRUE,4321BQRP4PCD,,,,,,,,,,,796995968073,Outback,Outback Panel Bed Footboard - Queen,Warm chestnut,,,,,,,,$105.0,,Bedroom Group,Footboard,Wood,Panel,Queen,48.0,29.25,68.0,4.0,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,53.0,5.0,31.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-556,TRUE,4321BQRP4PCD,,,,,,,,,,,79699596808,Outback,Outback Panel Bed Rails - Queen,Warm chestnut,,,,,,,,$75.0,,Bedroom Group,Rails,Wood,Panel,Queen,30.0,2.38,81.5,7.0,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,35.0,4.0,8.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-566,TRUE,4321BQRP4PCD,,,,,,,,,,,796995968097,Outback,Outback Panel Bed Slats - Queen,Warm chestnut,,,,,,,,$25.0,,Bedroom Group,Slats,Wood,Panel,Queen,19.0,1.38,61.0,3.5,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,24.0,3.0,8.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-717,TRUE,4321BQRP4PCD,,,,,,,,,,,796995967953,Outback,Outback Split 7-Drawer Dresser,Warm chestnut,,,,,,,,$460.0,,Bedroom Group,Dresser,,,,156.0,34.6,64.0,19.2,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,161.0,20.0,36.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4321-717.jpg,,,,,,,,,,,,,,,,,,,hh4321-717.jpg,,,hh4321-717.jpg,,,,,,,,,
4321-722,TRUE,4321BQRP4PCD,,,,,,,,,,,79699596796,Outback,Outback Mirror,Warm chestnut,,,,,,,,$110.0,,Bedroom Group,Mirror,,,,46.0,41.0,49.0,1.75,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,51.0,3.0,46.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-774,TRUE,4321BQRP4PCD,,,,,,,,,,,796995968141,Outback,Outback Nightstand ,Warm chestnut,,,,,,,,$220.0,,Bedroom Group,Nightstand,,,,72.0,28.75,29.5,18.5,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,77.0,20.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1,,hh4321-774.jpg,,,,,,,,,,,,,,,,,,,hh4321-774.jpg,,,hh4321-774.jpg,,,,,,,,,
4321BCRP4CC,TRUE,4321BCRP4CC,4321-576,4321-586,4321-556,4321-566,4321-722,4321-774,4321-718,,,,796995992306,Outback,"Outback Panel Bed - Queen, Nightstand, Chesser, and Mirror",Warm chestnut,,,,,,,,$1320.0,,Bedroom Group,Four-Piece Bedroom Set,Wood,Panel,Queen,454.0,62.0,81.5,18.5,,,"Crafted from high mountain ash solids and some select plywood, the Outback Collection is sturdy and stylish. The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfections of knots, cracks, and blemishes. Each piece is unique and full of rustic charm. The mission-inspired panel bed is available in queen, king, and claifornia king. It has stout, square legs and matching side rails. Alone or combined with the Outback bedroom pieces, the panel bed is a wonderful addition to any home.",Aged and distressed appearance,"Stout, square legs",Made from solid ash and some plywood,,,,Wood,,,,"Ash, Plywood",Vietnam,LTL,7.0,84.0,5.0,44.0,70.0,53.0,5.0,31.0,70.0,35.0,4.0,8.0,83.0,24.0,3.0,8.0,63.0,51.0,3.0,46.0,52.0,77.0,20.0,31.0,31.0,165.0,20.0,42.0,57.0,,,,,,,,,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-576,TRUE,4321BCRP4CC,,,,,,,,,,,796995968066,Outback,Outback Panel Bed Headboard - Queen,Warm chestnut,,,,,,,,$210.0,,Bedroom Group,Headboard,Wood,Panel,Queen,79.0,62.0,68.0,4.0,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,84.0,5.0,44.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-586,TRUE,4321BCRP4CC,,,,,,,,,,,796995968073,Outback,Outback Panel Bed Footboard - Queen,Warm chestnut,,,,,,,,$105.0,,Bedroom Group,Footboard,Wood,Panel,Queen,48.0,29.25,68.0,4.0,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,53.0,5.0,31.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-556,TRUE,4321BCRP4CC,,,,,,,,,,,79699596808,Outback,Outback Panel Bed Rails - Queen,Warm chestnut,,,,,,,,$75.0,,Bedroom Group,Rails,Wood,Panel,Queen,30.0,2.38,81.5,7.0,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,35.0,4.0,8.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-566,TRUE,4321BCRP4CC,,,,,,,,,,,796995968097,Outback,Outback Panel Bed Slats - Queen,Warm chestnut,,,,,,,,$25.0,,Bedroom Group,Slats,Wood,Panel,Queen,19.0,1.38,61.0,3.5,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,24.0,3.0,8.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-722,TRUE,4321BCRP4CC,,,,,,,,,,,79699596796,Outback,Outback Mirror,Warm chestnut,,,,,,,,$110.0,,Bedroom Group,Mirror,,,,46.0,41.0,49.0,1.75,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,51.0,3.0,46.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-774,TRUE,4321BCRP4CC,,,,,,,,,,,796995968141,Outback,Outback Nightstand ,Warm chestnut,,,,,,,,$220.0,,Bedroom Group,Nightstand,,,,72.0,28.75,29.5,18.5,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,77.0,20.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8,,hh4321-774.jpg,,,,,,,,,,,,,,,,,,,hh4321-774.jpg,,,hh4321-774.jpg,,,,,,,,,
4321-718,TRUE,4321BCRP4CC,,,,,,,,,,,796995968158,Outback,Outback Chesser,Warm chestnut,,,,,,,,$575.0,,Bedroom Group,Chesser,,,,160.0,40.4,55.0,18.5,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,165.0,20.0,42.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1,,hh4321-718.jpg,,,,,,,,,,,,,,,,,,,hh4321-718.jpg,,,hh4321-718.jpg,,,,,,,,,
4321BKRP4PCD,TRUE,4321BKRP4PCD,4321-676,4321-686,4321-656,4321-666,4321-717,4321-722,4321-774,,,,796995992337,Outback,"Outback Panel Bed - King, Nightstand, Dresser, and Mirror",Warm chestnut,,,,,,,,$1290.0,,Bedroom Group,Four-Piece Bedroom Set,Wood,Panel,King,477.0,62.0,84.75,19.2,,,"Crafted from high mountain ash solids and some select plywood, the Outback Collection is sturdy and stylish. The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfections of knots, cracks, and blemishes. Each piece is unique and full of rustic charm. The mission-inspired panel bed is available in queen, king, and claifornia king. It has stout, square legs and matching side rails. Alone or combined with the Outback bedroom pieces, the panel bed is a wonderful addition to any home.",Aged and distressed appearance,"Stout, square legs",Made from solid ash and some plywood,,,,Wood,,,,"Ash, Plywood",Vietnam,LTL,7.0,95.0,5.0,44.0,87.0,64.0,5.0,31.0,87.0,35.0,4.0,8.0,83.0,29.0,3.0,8.0,80.0,161.0,20.0,36.0,65.0,51.0,3.0,46.0,52.0,77.0,20.0,31.0,31.0,,,,,,,,,385.0,,hh4321bkrp4pcd.jpg,,,,,,,,,,,,,,,,,,,hh4321bkrp4pcd.jpg,,,hh4321bkrp4pcd.jpg,,,,,,,,,
4321-676,TRUE,4321BKRP4PCD,,,,,,,,,,,796995967908,Outback,Outback Panel Bed Headboard - King,Warm chestnut,,,,,,,,$260.0,,Bedroom Group,Headboard,Wood,Panel,King,90.0,62.0,84.75,4.0,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,95.0,5.0,44.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-686,TRUE,4321BKRP4PCD,,,,,,,,,,,796995967915,Outback,Outback Panel Bed Footboard - King,Warm chestnut,,,,,,,,$120.0,,Bedroom Group,Footboard,Wood,Panel,King,59.0,29.25,84.75,4.0,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,64.0,5.0,31.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-656,TRUE,4321BKRP4PCD,,,,,,,,,,,796995967922,Outback,Outback Panel Bed Rails - King,Warm chestnut,,,,,,,,$85.0,,Bedroom Group,Rails,Wood,Panel,King,30.0,2.38,81.5,7.0,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,35.0,4.0,8.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-666,TRUE,4321BKRP4PCD,,,,,,,,,,,796995967939,Outback,Outback Panel Bed Slats - King,Warm chestnut,,,,,,,,$35.0,,Bedroom Group,Slats,Wood,Panel,King,24.0,1.38,77.88,3.5,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,29.0,3.0,8.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-717,TRUE,4321BKRP4PCD,,,,,,,,,,,796995967953,Outback,Outback Split 7-Drawer Dresser,Warm chestnut,,,,,,,,$460.0,,Bedroom Group,Dresser,,,,156.0,34.6,64.0,19.2,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,161.0,20.0,36.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4321-717.jpg,,,,,,,,,,,,,,,,,,,hh4321-717.jpg,,,hh4321-717.jpg,,,,,,,,,
4321-722,TRUE,4321BKRP4PCD,,,,,,,,,,,79699596796,Outback,Outback Mirror,Warm chestnut,,,,,,,,$110.0,,Bedroom Group,Mirror,,,,46.0,41.0,49.0,1.75,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,51.0,3.0,46.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-774,TRUE,4321BKRP4PCD,,,,,,,,,,,796995968141,Outback,Outback Nightstand ,Warm chestnut,,,,,,,,$220.0,,Bedroom Group,Nightstand,,,,72.0,28.75,29.5,18.5,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,77.0,20.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1,,hh4321-774.jpg,,,,,,,,,,,,,,,,,,,hh4321-774.jpg,,,hh4321-774.jpg,,,,,,,,,
4321BKRP4PCC,TRUE,4321BKRP4PCC,4321-676,4321-686,4321-656,4321-666,4321-722,4321-774,4321-718,,,,79699599232,Outback,"Outback Panel Bed - King, Nightstand, Chesser, and Mirror",Warm chestnut,,,,,,,,$1405.0,,Bedroom Group,Four-Piece Bedroom Set,Wood,Panel,King,481.0,62.0,84.75,18.5,,,"Crafted from high mountain ash solids and some select plywood, the Outback Collection is sturdy and stylish. The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfections of knots, cracks, and blemishes. Each piece is unique and full of rustic charm. The mission-inspired panel bed is available in queen, king, and claifornia king. It has stout, square legs and matching side rails. Alone or combined with the Outback bedroom pieces, the panel bed is a wonderful addition to any home.",Aged and distressed appearance,"Stout, square legs",Made from solid ash and some plywood,,,,Wood,,,,"Ash, Plywood",Vietnam,LTL,7.0,95.0,5.0,44.0,87.0,64.0,5.0,31.0,87.0,35.0,4.0,8.0,83.0,29.0,3.0,8.0,80.0,51.0,3.0,46.0,52.0,77.0,20.0,31.0,31.0,165.0,20.0,42.0,57.0,,,,,,,,,385.0,,hh4321bkrp4pcc.jpg,,,,,,,,,,,,,,,,,,,hh4321bkrp4pcc.jpg,,,hh4321bkrp4pcc.jpg,,,,,,,,,
4321-676,TRUE,4321BKRP4PCC,,,,,,,,,,,796995967908,Outback,Outback Panel Bed Headboard - King,Warm chestnut,,,,,,,,$260.0,,Bedroom Group,Headboard,Wood,Panel,King,90.0,62.0,84.75,4.0,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,95.0,5.0,44.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-686,TRUE,4321BKRP4PCC,,,,,,,,,,,796995967915,Outback,Outback Panel Bed Footboard - King,Warm chestnut,,,,,,,,$120.0,,Bedroom Group,Footboard,Wood,Panel,King,59.0,29.25,84.75,4.0,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,64.0,5.0,31.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-656,TRUE,4321BKRP4PCC,,,,,,,,,,,796995967922,Outback,Outback Panel Bed Rails - King,Warm chestnut,,,,,,,,$85.0,,Bedroom Group,Rails,Wood,Panel,King,30.0,2.38,81.5,7.0,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,35.0,4.0,8.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-666,TRUE,4321BKRP4PCC,,,,,,,,,,,796995967939,Outback,Outback Panel Bed Slats - King,Warm chestnut,,,,,,,,$35.0,,Bedroom Group,Slats,Wood,Panel,King,24.0,1.38,77.88,3.5,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,29.0,3.0,8.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
